dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-15T06:27:11.667023807Z,24,1.4,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:28:12.171088364Z,23,1.4,0,21,35,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:29:11.712110436Z,24,1.2,0,21,33,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:30:12.208491244Z,22,1.2,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:31:11.732222656Z,23,1.4,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:32:12.23251529Z,23,1.4,0,21,28,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T06:33:11.765814712Z,21,1.6,0,21,31,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T06:34:12.273883898Z,22,1.3,0,21,31,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T06:35:11.786123999Z,23,1.3,0,21,27,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T06:36:12.305647294Z,23,1.3,0,21,27,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T06:37:11.814804496Z,22,1.2,0,21,32,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T06:38:12.335707435Z,24,1.5,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:39:11.866712944Z,22,1.5,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:40:12.365958482Z,23,1.4,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:41:11.879845137Z,23,1.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:42:11.398920759Z,24,1.5,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:43:11.90379038Z,24,1.4,0,21,31,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T06:44:11.429123305Z,23,1.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:45:11.946138018Z,23,1.5,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:46:11.447764876Z,22,1.3,0,21,23,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T06:47:11.968765619Z,22,1.3,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:48:11.490029112Z,23,1.3,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:49:12.000711921Z,23,1.3,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:50:11.523225354Z,24,1.2,0,21,33,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:51:12.032176607Z,23,1.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:52:11.54493167Z,23,1.6,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:53:12.046085534Z,22,1.4,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:54:11.585308283Z,23,1.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:55:12.08036975Z,22,1.4,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:56:11.608066727Z,23,1.7,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:57:12.119448021Z,23,1.7,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T06:58:11.638719725Z,25,2.1,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T06:59:12.14887488Z,24,1.8,0,21,22,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T07:00:11.668474195Z,21,1.8,0,21,30,0,12,14,21.7,0
0004a30b0024358c,2019-01-15T07:01:12.17957678Z,22,1.8,0,21,24,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T07:02:11.689916295Z,22,1.7,0,21,28,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T07:03:12.209990671Z,22,1.6,0,21,24,0,12,12,21.7,0
0004a30b0024358c,2019-01-15T07:04:11.731734055Z,23,1.7,0,21,30,0,12,14,21.7,0
0004a30b0024358c,2019-01-15T07:05:12.243036647Z,22,1.9,0,21,28,0,12,14,21.7,0
0004a30b0024358c,2019-01-15T07:06:11.761155114Z,23,1.7,0,21,30,0,12,13,21.7,0
0004a30b0024358c,2019-01-15T07:07:12.275391001Z,22,2,0,21,28,0,12,12,21.7,0
0004a30b0024358c,2019-01-15T07:08:11.804608327Z,22,1.9,0,21,31,0,12,12,21.7,0
0004a30b0024358c,2019-01-15T07:09:12.315866017Z,22,1.7,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:10:11.826905384Z,23,1.6,0,21,28,0,12,13,21.6,0
